Term,Meaning_of_term,Dialect type,Fill_in_Blank_question,correct_answer
مالك لوا,معناها لا لكن بطريقة مهذبة,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما سألت أحمد إذا كان يريد الذهاب، أجاب: '_____ لوا'.
الخيارات:
أ) لا
ب) نبغى
ج) مالك
د) مالك لوا",د
مالي,وش فيني او ماخطبي,General,"المهمة: أكمل الجملة التالية باستخدام كلمة 'مالي'.
السؤال: عندما أخبرني أن حالتي غريبة، قلت له: '____________ مافيني الا العافيه.'
الخيارات:
أ) مالي
ب) لا شيء
ج) كل شيء
د) أنا راضية",أ
مالي خلق,يعني انا غير موافق لانني منهك تعبان او مطنش,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة لتكملة الجملة. 
السؤال: عندما طلب مني صديقي الخروج، أجبت: "" ياخوي."" 
الخيارات: 
A) أنا مشغول. 
B) مالي خلق. 
C) أحب الذهاب. 
D) سأذهب معك..",B
منقه,فاكهة المانجو,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: هذا موسم ال___. 
الخيارات: 
A) منقه 
B) سمك 
C) خضار 
D) لحم",A
ماني,"مَانِي ، ماني بِ ماني هي اختصار ل ما إنِّي والتي تستخدم للنفي وتقوم بمقام كلمة ""لست"" او ""لن"".",Southern,"المهمة: املأ الفراغ في الجملة.
السؤال: أنا __________ اليوم. (استخدم كلمة 'ماني')
الخيارات:
أ) ماني
ب) رايح
ج) جاي
د) ماراح",أ
ماني فايضلكم,ماني فايضلكم يهوا : لست مهتم لكن,Western,"### نوع السؤال: املأ الفراغ
المهمة: أكمل الجملة بإجابة صحيحة.
السؤال: إذا قال شخص ""ماني فايضلكم""، فإنه يعني أنه .
الخيارات:
A) غير مهتم. 
B) يحتاج إلى المساعدة. 
C) مشغول. 
D) سعيد جدًا..",A
ماودي,مابغى,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح.
السؤال: ""أنا أروح السوق اليوم."" 
الخيارات:
A) أريد 
B) ماودي 
C) أحب 
D) لا أستطيع
الجواب الصحيح: B (ماودي)",
مبربج,"تطلق صفة ""مبربج"" على وجه الشخص الذي استيقظ من النوم لكن ما زالت آثار تغيّرات شكل الوجه واضحة عليه بسبب النوم العميق.",General,"المهمة: املأ الفراغ بالاختيار الصحيح.
السؤال: بعد استيقاظه من النوم، كان وجهه _______.
الخيارات:
أ) جميل
ب) مبربج
ج) متعب
د) مشرق",ب
مُبّطِي,مبطي تعني منذ زمن ( من زمان ),Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: جملة: ""متى كانت إختباراتكم؟ عمر: من منتهية إختباراتنا"". 
الخيارات: 
A) قريباً 
B) زمان 
C) مبطي 
D) البارحة",C
مبوبز,اي جلس جلسة القرفصاء قال ابن الأَعرابي: قعد القُرْفُصا، وهو أَن يقعد على رجليه ويجمع ركبتيه ويقبض يديه إِلى صدره,Southern,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: قعد محمد . 
الخيارات: 
A) جالساً على السرير 
B) مبوبزاً 
C) في السيارة 
D) فوق الطاولة",B
مِتْحّاقُهْ,اختصار عساه بالماحق,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة. 
السؤال: ""شفت الرفقاء وحيّيتهم لكن مِتْحّاقُهْ."" 
الخيارات: 
A) عرفت 
B) سألت 
C) حسيت 
D) شفت",C
متحيز,"هو ان تميل لأي شيء غير الهدف الاساسي او ان تميل لاي شي غير الصحيح عقلانيًا (و""الصحيح"" هنا يقصد به الصحة ، كما هي معرفة في كتب التفكير الناقد؛ الصحة الاستنباطية ، والدقة الإستقرائية)",General,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الجواب الصحيح لملء الفراغ في الجملة.
- السؤال: الشخص الذي يتبنى أفكاراً دون نقد يعتبر .
- الخيارات:
 A) متحيز 
 B) محايد 
 C) عقلاني 
 D) موضوعي 
-",A
متختخ,بمعنى الممتليء .,Western,"المهمة: أكمل الجملة بالاختيار المناسب.
السؤال: يختي عليه ______ الواد دا.
الخيارات:
أ) فارغ
ب) متختخ
ج) نحيف
د) ضئيل",ب
سامج,يعني ممل او بارد,General,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: الاجتماع كان ____ والكل طفش.
الخيارات:
أ) ممتع
ب) سامج
ج) حماسي
د) نشيط",ب
متصايغ,مائل,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: المكان هذا نبي مكان ارض مستوية. 
الخيارات: 
A) مستوي 
B) متصايغ 
C) ضيق 
D) بعيد 
الجواب الصحيح: B (متصايغ)",
متصربع,مستعجل,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: أنا و أحتاج للمغادرة الآن. 
الخيارات: 
A) مرتاح 
B) متصربع 
C) مريض 
D) سعيد",B
مُتفرفث,يعني شيء متفتفت أو منتثر,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: الكعك إذا وضع في الثلاجة ثم تم إخراجه يصبح . 
الخيارات: 
A) لذيذ 
B) مُتفرفث 
C) طازج 
D) سائل",B
متقصوي,وتقال حينما يجلس الشخص في اقاصي المجلس مما يصعب الحديث معه,Central,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الإجابة المناسبة لملء الفراغ.
- السؤال: عادةً ما يُقال إن الشخص عندما يكون في أقصى المجلس.
- الخيارات:
 A) متقصوي 
 B) متحدث 
 C) صامت 
 D) مرح 
-",A
مجحم,مِجَحِّم ، مِجَحِّمِين ، جَحَّم ، تِجَحَّم وهو الشخص الذي يمر بحالة شبق قوية ، اي يعيش في اقصى حجيم الشبق. واصل الكلمة : جحيم .,General,"### نوع السؤال: املأ الفراغ 
المهمة: اختر الإجابة الصحيحة فقط بدون أي ملاحظات إضافية. 
السؤال: في اللهجة السعودية، يمكن استخدام كلمة ""مجحم"" لوصف شخص يشعر ب. 
الخيارات: 
A) السعادة 
B) الجوع 
C) الشوق 
D) الشبق",D
مجعوج اجعوج,شيء متشابك وغير مرتب,Western,"### نوع السؤال: املأ الفراغ 
#### المهمة 
اختر الإجابة الصحيحة. 
#### السؤال 
كلمة ""مجعوج اجعوج"" تشير إلى شيء وغير مرتب. 
#### الخيارات 
A) مرتب 
B) متشابك 
C) مميز 
D) جميل 
#### الإجابة الصحيحة 
B) متشابك",
مِجِغ,مجغ، بكسر الميم والجيم، كلمة وصف تعني زيادة التخفيف في الدم والاستهتار والبياخة لدرجة المجاغة.,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: عندما يسألني أحد عن إبراهيم، أقول له إنه شخص ____ لدرجة المجاغة.
الخيارات:
أ) طموح
ب) مجغ
ج) ذكي
د) كريم",ب
محرشه,مَحْرَشَة ، يِتْمَحْرَش ‏ العملية التي يتفاعل فيها شخص أو أكثر بشكل استفزازي جدًا مدفوع بالضغينه او التنافس.,Central,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: تحدث المراهقون بطريقة __________، حيث استمروا في استفزاز بعضهم البعض.
الخيارات:
أ) مهذبة
ب) تمحرشين
ج) إيجابية
د) ممتعة",ب
محنتش,زعلان / و زعلانه للمؤنث,Central,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الجواب الصحيح.
- السؤال: أنا أشعر أن نورة اليوم.
- الخيارات:
 - A) محنتشه
 - B) ضاحكة
 - C) فرحة
 - D) غاضبة
- الجواب الصحيح: A (محنتشه)",
مَخَفَّة,خفيف أو بسيط العقل الذي لا يدرك الأمور من أول وهلة أو الذي تنطلي عليه الحيل بسهولة.,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط بدون أي ملاحظات إضافية. 
السؤال: ""قال فلان عن صديقه إنه ، لأنه ينخدع بالحيل بسهولة."" 
الخيارات: 
A) حكيم 
B) مَخَفَّة 
C) ذكي 
D) بعيد النظر",B
مخفّه,تطلق على الشخص قليل الذكاء أو الملعوب عليه,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الكلمة المناسبة لتكملة الجملة.
السؤال: في الجملة ""أنت يا لا تصدقهم""، ما الكلمة المناسبة؟
الاختيارات: 
A) عاقل 
B) مخفّه 
C) ذكي 
D) فطن",B
مخمود,تجي بمعنى ناايم، لكن تنقال لما الواحد يكون مقهوور من حااجة.,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: سمير كان يخبر سارة أنه طوال الوقت كان ___________.
الخيارات:
أ) مشغول
ب) مخمود
ج) متضارب
د) نشيط",ب
مَداس,اسم بمعنى حذاء خفيف مصنوع من الجلد له فتحة للإبهام. جمعه مُدُس.,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: أحتاج إلى ______ جديد لأذهب إلى السوق.
الخيارات:
أ) مداس
ب) قبعة
ج) بنطلون
د) ساعة",أ
مدخدخ,حالة الشخص عندما يكون نعسان ولا يشترط ان يكون تعبان وبحاجة للنوم,General,"### نوع السؤال: املأ الفراغ 
المهمة: اختر الإجابة الصحيحة دون أي ملاحظات إضافية. 
السؤال: ""لا أستطيع الذهاب الآن، أشعر أنني ."" 
الخيارات: 
A) متحمس 
B) مدخدخ 
C) نشيط 
D) سعيد",B
مدربان,تعني المدخل أو السيب,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية.
السؤال: كلمة ""مدربان"" تعني أو السيب. 
الخيارات: 
A) المدخل 
B) الجسر 
C) المخرج 
D) الزاوية",A
مدزدي,مدزدي (تنطق بدمج الدال الاولى مع حرف الزاء) وتعني (حسناً ما فعلت),Southern,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: عندما يلقن (خالد) درساً لمحمد، يمكنك القول لخالد: في محمد. 
الخيارات: 
A) مدزدي 
B) شوف 
C) عليك 
D) عطني",A
مدلدل,هو الشيء المتدلي .,Western,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الإجابة الصحيحة.
- السؤال: أنا أحب الفستان لأنه جميل.
- الخيارات:
 A) المدلدل 
 B) المشدود 
 C) السميك 
 D) القاسي 
-",A
مدلهم,مدلهم أي شديد الظلمه,General,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الإجابة الصحيحة لتكملة الجملة.
- السؤال: القبور ضيقه ومدلهمه، أي أن القبور ضيقه ومظلمة بشدة، والطريق .
- الخيارات:
 A) مزهر 
 B) مظلم 
 C) مشرق 
 D) مباشر 
-",B
مِدَهْمَلْ,مدهمل يعني مبهذل وهو الشخص الذي مظهره غير مرتب,Western,"#### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح.
السؤال: تعني كلمة ""مِدَهْمَلْ"" الشخص الذي مظهره غير .
الخيارات:
A) مرتب 
B) معتدل 
C) نظيف 
D) جميل 
الجواب الصحيح: A (مرتب)",
مراصيع,اكله سعوديه ولهاا مسميات اخرا مثل :مصابيب و مراقيش,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
السؤال: هو نوع من الأكلات السعودية المعروفة باسم ""مراصيع"".
الخيارات: 
A) مصابيب 
B) كبسة 
C) عصيدة 
D) فتة",A
مرجب,يعني الشيء المتسخ منذ فترة طويلة وتراكمت عليه الاوساخ,Central,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الإجابة الصحيحة.
- السؤال: الشيء الذي لم يتم تنظيفه منذ فترة ويتراكم عليه الأوساخ يسمى .
- الخيارات:
 A) مرجب 
 B) نظيف 
 C) مميز 
 D) رائع 
-",A
مرجوج,اي خبل و افعاله جنونية، وللانثى مرجوجة,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة. 
السؤال: ""الولد صار مرجوج بعد ما ."" 
الخيارات: 
A) تخرج من المدرسة 
B) تحدث مع أصدقائه 
C) شاف شيء غريب 
D) أكل عشاءه",C
مرحبمبو,كلمة للترحيب وهي من كلمات اللهجة الحجازية الحضرية وهي تعني مرحبا به للأنثى تقال مرحبمبها أو مرحبابها وللمجموعة مرحبمبكم أو مرحبابكم وللمخاطب مرحبابك أو مرحبمبك,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
السؤال: يمكن قول ""مرحبمبو"" للترحيب بـ .
الخيارات: 
A) مجموعة من الذكور 
B) مجموعة من الإناث 
C) مجموعة مختلطة من الذكور والإناث 
D) الأطفال فقط",C
مرْخ,"""مرْخ"": بمعنى تدليك الجسم بكريم أو (فيكس) ونحوهما . وتشتهر هذه الكلمة في المنطقة الشرقية.",Eastern,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: عندما شعر بالصداع، قرر أن يقوم بعملية _____ باستخدام مرْخ.
الخيارات:
أ) وجع
ب) تدليك
ج) تناول
د) استرخاء",ب
مرم,رِمَّه ، مِرِم ، مِرِمَّه ، رَمَامَه ، رِمَم (جمع) المعنى القديم لكلمة رمة هو : الحبل المتهتك الذي اذا شُد بقوة قد يُقطع وتطلق كلمة مرم على اي فعل قام به شخص ما وكانت الفعلة لا قيمة لها ولا يُعتمد عليها. والرمه هو نعت على الشخص الجبان والذي لا يتحمل الشدة ولا ينتج منه اي قيمة من مساهمته.,Southern,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: حسام دائماً يقوم بأفعال ، ولا يمكن الاعتماد عليه في أي شيء مهم. 
الخيارات: 
A) مرم 
B) محترم 
C) مفيد 
D) ملهم) مرم",A
مرّه,جدًّا،,General,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية.
- السؤال: ""الجو جميل اليوم، والأكلات لذيذة""
- الخيارات:
 - A) مرّه
 - B) قليل
 - C) عادي
 - D) خفيف
- الجواب الصحيح: A",
سْرِي, أمضي او انقلع,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: إذا خلص شغلك، ____ ولا عاد أشوفك.
الخيارات:
أ) اجلس
ب) انتظر
ج) سْرِي
د) قرّب",ج
مزرقن,مزرقن تقال للشخص الذي يزعل بدون سبب او يكون متضايق من شي في نفسه,Southern,"المهمة: أكمل الجملة بما يناسب الفراغ.
السؤال: عندما يكون الشخص _____، نقول إنه 'مزرقن'.
الخيارات:
أ) مبتهج
ب) متضايق
ج) متفائل
د) سعيد",ب
مزنون,اي انه يدرك مخابيء و مخارج الافكار من حوله ويعلم فعالية الخباثة بين اقران المجتمع,Southern,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: في المثال ""باين من كلامه ""، الكلمة التي تناسب الفراغ هي: 
الخيارات: 
A) متخبط 
B) مزنون 
C) مبهم 
D) ساذج",B
مسفع,مسفع تعني حجاب الرأس,Southern,"### نوع السؤال: املأ الفراغ 
- المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية.
- السؤال: ""أريد أن أشتري جديد من السوق للعيد.""
- الخيارات:
 A) مسفع 
 B) كتاب 
 C) فاكهة 
 D) عطر 
-",A
مسكت,صفة تطلق على الشيء المُبْهٍر,General,"المهمة: أكمل الجملة بالكلمة المناسبة.
السؤال: الجهاز الجديد الذي اشتريته جداً ________.
الخيارات:
أ) ممل
ب) مسكت
ج) قديم
د) عادي",ب
مسيح الحداثه,هي صفة تطلق على الشخص الذي يحاول تغيير العادات والتقاليد لمجتمع ما فقط لان فكرة ما جديدة اعجبته ويريد تطبيقها عليهم. كما ان مسيح الحداثه عنده اعتقاد راسخ بان الناس مثل ورقه بيضا يمكن شحذهم وارشادهم وتغييرهم من خلال الاقناع والتلاعب او تغيير المفاهيم. كما ان مسيح الحداثه لديه عدة رسائل يحاول ان يبشر بها الناس ولديه عدة اهداف، فمن رسائله هو اقناعك بما هو متحضر وما هو متخلف بناءاً على القيم التي تشربها من الغرب، وايضا بوصلته الاخلاقية مبنية على ان اي فعل يحقق المساواه فهو جيد، وأي شيء فيه تفاضل او انعدام للمساواه فهو سيء حتى لو كانت الفروقات ناتجه عن جهد واجتهاد، لذا فانك ستجد مسيح الحداثه يميل بشده لتمكين وتقوية الضعفاء على الاقوياء ويرى ان اي فعل تجاه هذه القضيه يكون امرًا اخلاقياً بالضرورة ، ولكنه في مسألة الضعف والقوة هذه لا يرى مواطن الضعف الا تلك التي تكون عند النساء فقط ويتجاهل مواطن الضعف عند الرجال . وغالبا ما يكون لديه نزعه للاشتراكية ، وبشكل متأصل فان المسيح يفضل ان تتساوى المكاسب بغض النظر عن الجهود. كما من صفات المسيح المميزة جدا انه منبطح ثقافيا ومتشرب للثقافات البعيده ومحتقر لثقافة بلده او دينه وارثه التاريخي. يميل مسيح الحداثه في كلامه لاقناعك بإستجداء العاطفه وهو كثيرا ما يستخدم مغالطة الشخصنه ومغالطة الاحتكام للمساواة ومغالطة الاحتكام للمستقبل.,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: ""مسيح الحداثه"" غالباً ما يُعدّ من الثقافة المحلية ويروّج لثقافات أخرى. 
الخيارات: 
A) مدخلاً 
B) محتقرًا 
C) شاملاً 
D) متنوعًا",B
مشبب,مِشَبَّبْ هو اسم لرجل. وهي كلمة تستخدم عندما تريد ان تعبر عن : ان الشخص ليس بفتاة او مكتملة الانوثه او انه رجل يتظاهر بانه بنت لكي يخرفن الذكور الاخرين.,General,"المهمة: أكمل الجملة بكلمة صحيحة.
السؤال: إذا رأيت ولداً يتصرف كفتاة، يمكنك أن تقول له: يا ______.
الخيارات:
أ) مشبب
ب) قوي
ج) لطيف
د) لطيف
الإجابة الصحيحة:",
مشحوط,معناها شايف نفسه قوي وممكن يفرش اي واحد.,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: يستخدم الناس كلمة ""مشحوط"" لوصف شخص يشعر بأنه . 
الخيارات: 
A) ضعيف 
B) قوي 
C) ذكي 
D) خجول",B
مشرّز,مِشَرَّز ، مِشَرَّزَة ، شرِّزْنا وهو وصف للانسان المضيء المستبصر والنزيه. وتستخدم في المدح لمن يكون نزيهًا ويرى الحق او يرى محاسنك ويمدحك عليها بلا نفاق. وتستخدم شرزنا لطلب الراي العادل والاستشاره في النزاعات.,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: الشخص الذي يملك صفات مشرّزة يكون دائماً ... في نظر الناس.
الخيارات:
أ) مصلح
ب) ناقد
ج) مداح
د) متجاهل",أ
مشَصِّب,مُشصب يعني موقّف أو متصلب وفي الفصحى : الشِصْبُ بالكسر: الشِدَّةُ. والشَصائِبُ: الشدائد. وقد شَصِبَ الأمرُ، أي اشتدَّ. مثال : لا احد يقول مدّ رجليك تراني مشصب من البرد,Central,"المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ""لا أحد يقول مدّ رجليك تراني من البرد."" 
الخيارات: 
A) متعب 
B) مشصب 
C) نائم 
D) جائع",B
طاقة,شباك,Western,"المهمة: قم بملء الفراغ بالكلمة المناسبة باللهجه الحجازية.
السؤال: فتح ____ عشان يدخل الهوا.
الخيارات:
أ) كتاب
ب) طاقة
ج) مصباح
د) مروحة",ب
مشنص,وقف مذهولا ولايتحرك,Southern,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة فقط دون أية ملاحظات. 
السؤال: يمكن استخدام كلمة ""مشنص"" لوصف شخص في موقف غير متوقع. 
الخيارات: 
A) جالس 
B) مشنص 
C) مرتاح 
D) سريع",B
مصالة,شيء يعده أحد الناس مضحك أو ظريف و لكن لا يتفق معه باقي الناس.,Central,"المهمة: اكمل الجملة بكلمة مناسبة.
السؤال: عندما أخبر عارف النكتة، قال لها خالد: 'وش هالم________.'
الخيارات:
أ) مصاله
ب) خيال
ج) معلومات
د) خطر",أ
أغولك,"باللهجة القصيمية  تعني أخنقك
",Central,"المهمة: قم بملء الفراغ بالكلمة المناسبة.
السؤال: قال له بعصبية: ترى ____ لو ما تهدأ.
الخيارات:
أ) أساعدك
ب) أضحكك
ج) أغولك
د) أبارك لك",ج
مصخّن,اي حرارته مرتفعة وبه حمّى,General,"المهمة: املأ الفراغ بما يناسب السؤال.
السؤال: إذا كنت تشعر بالحرارة الشديدة، يمكنك أن تقول إنك '_____'
الخيارات:
أ) مصخّن
ب) هادئ
ج) بارد
د) نائم",أ
مصطفى,مصطفى مصطلح ينقال للدافور او شاطر,Southern,"### نوع السؤال: املأ الفراغ
- المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
- السؤال: في محادثة بين الأصدقاء، قال محمد لصالح: ""يا ، أنا جبت من في امتحان الرياضيات."" 
- الخيارات: 
 A) فاشل 
 B) مصطفى 
 C) غبي 
 D) متدرب 
- الجواب الصحيح: B (مصطفى)",
مصطلحاني,هو الشخص الذي يصنع مصطلح ليُبسِّط فكرة معينة.,General,"المهمة: أكمل الجملة التالية.
السؤال: _____ هو النشاط الذي يقوم به المصطلحاني لتبسيط الأفكار.
الخيارات:
أ) التسويق
ب) صناعة المصطلحات
ج) الرسم
د) البرمجة",ب
مصقع/ة,المصقع كلمة تصف درجة حرارة الشيء وهي درجة البرودة(الصقيع) تنقال للاكل اذا قلة حرارته تاتي ايضا بشتيمة يقال لها:,Western,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: شيء _____ عندما تكون درجة حرارته منخفضة.
الخيارات:
أ) ناشف
ب) مصقع
ج) دافئ
د) حار",ب
مصلمز,يعني بها مصلم وهي كلمة يستخدمها ملحدين تويتر لتحقير المسلمين,General,"## نوع السؤال: املأ الفراغ
المهمة 
اختر الإجابة الصحيحة.
السؤال 
إن كلمة ""مصلمز"" تعني .
الخيارات 
A) تقدير المسلمين 
B) تحقير المسلمين 
C) دعم المسلمين 
D) سؤال عن الدين",B
مصمك,المصمك هو بناء جدرنه سميكه ومرتفعه وكان يخزن فيه الذخيره هو مصطلح عامي يعني حصن,Central,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: المصمك يعتبر _____ لحماية الذخيرة.
الخيارات:
أ) محمية
ب) حصن
ج) معبد
د) سوق",ب
مصنخ,تعني كلمة (مصنخ ) إطالة النظر,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح دون أي ملاحظات إضافية. 
السؤال: خالد بالكتاب. 
الخيارات: 
A) مصنخ 
B) مشغول 
C) ممل 
D) مستمتع",A
مطرطم,عابس,Southern,"المهمة: املأ الفراغ بالكلمة المناسبة.
السؤال: إذا كان الشخص __________، فإنه يكون 'مطرطم'.
الخيارات:
أ) مبتسم
ب) عابس
ج) مرح
د) سعيد",ب
مطنقر,غضبان جداً,Southern,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح فقط دون أي ملاحظات إضافية. 
السؤال: ""اليوم كان بسبب المباراة."" 
الخيارات: 
A) مطنقر 
B) سعيد 
C) كسول 
D) متفائل",A
مطنوخ,مطنوخ (صفة) تصريف الكلمة: جذر طنخ (الفعل)، ويشتق الأسم منها على وزن فعالة (طَّنَاخَة). المعنى: مطنوخ تعني: - الشخص الغني. - الشخص الحكيم الصائب الرأي. - الشخص الشهم الأجودي الشجاع الطيب الأخلاق.,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الجواب الصحيح.
السؤال: الجوال مطنوخ.
الخيارات:
A) ليس 
B) هو 
C) كانوا 
D) انت",B
مطوّع الغفلة,مِطَوَّع الغَفْلَة هو الشخص الذي يظن ان الاخذ بالاسباب امر غير واجب على المسلمين ، ويرين الناس ان تكتفي بالدعاء والصلاة. وهو يفسر الآية التالية في قولة تعالى في سورة الكهف : {(إِنَّا مَكَّنَّا لَهُ فِي الْأَرْضِ وَآتَيْنَاهُ مِنْ كُلِّ شَيْءٍ سَبَبًا * فَأَتْبَعَ سَبَبًا)} بطريقة مختلفة عن ماهو واضح.,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة لملء الفراغ.
السؤال: يعبر مصطلح ""مطوّع الغفلة"" عن شخص يعتقد أن أمر غير واجب على المسلمين.
الخيارات: 
A) الدعاء 
B) الأخذ بالأسباب 
C) الصلاة 
D) الصيام",B
مطيزيزات,"كلمة آستخدمها آجدادنا بالحديث عن "" المطازيز "" آكله شعبيه سعوديه.",Southern,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة لإكمال الجملة.
السؤال: في المناسبات، يحضر الناس المطيزيزات.
الخيارات: 
A) الحلويات 
B) الأطباق 
C) المشروبات 
D) المطيزيزات",D
معافره,معافرة اي بمعنى مصاقعه,Western,"المهمة: املأ الفراغ بالكلمة المناسبة من المقترحات.
السؤال: يستخدم البعض كلمة 'معافره' في سياق _____ .
الخيارات:
أ) الرياضة
ب) النقاشات
ج) الحروب
د) العزائم",ب
معرق,مصطلح في العاب الفيديو يُطلق على اللاعب المحترف الذي يتصبب عرقًا من شدة تركيزه.,General,"المهمة: أكمل الفراغ بالكلمة المناسبة.
السؤال: اللاعب 'علي' يعتبر _________ لأنه يتصبب عرقاً أثناء اللعب.
الخيارات:
أ) معرق
ب) خامل
ج) ممتاز
د) مبتدئ",أ
معفوس,غير مرتب أو ملخبط,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة.
السؤال: الغرفة كانت بشكل فوضوي. 
الخيارات: 
A) معفوسة 
B) منظمة 
C) نظيفة 
D) مرتبة",A
مِعلف,مِعلف / حقيبه من جلد خروف تستعملها النساء لنقل الاعلاف في بادية الحجاز,Western,"المهمة: أكمل الجملة بالاختيار الصحيح.
السؤال: تعتبر 'المِعلف' من الأدوات المهمة عند ______ في الحجاز.
الخيارات:
أ) النساء
ب) الرجال
ج) الأطفال
د) القرويين",أ
مغاروم,تنادي للشخص المجنون,General,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة. 
السؤال: ""فهد ضيع فلوسه كلها."" 
الخيارات: 
A) الحكيم 
B) المغاروم 
C) السعيد 
D) القوي",B
مُغْراف,كاس نحاسية مخصصة لشرب الماء.,Western,"### نوع السؤال: املأ الفراغ
المهمة: اختر الإجابة الصحيحة. 
السؤال: يُستخدم ""مُغْراف"" لشرب . 
الخيارات: 
A) العصير 
B) الماء 
C) الشاي 
D) القهوة",B
مغرِب,صفة تطلق على السائل اذا كدِر لونه ، عكسها صافي,Central,"### نوع السؤال: املأ الفراغ
المهمة: اختر إجابة واحدة فقط دون أي ملاحظات إضافية. 
السؤال: استخدم كلمة ""مغرِب"" في الجملة التالية: ""لا تشرب الشاي وطعمه شين."" 
الخيارات: 
A) طازج 
B) مغرب 
C) حار 
D) بارد",B
مغط,فعل يعني جلد أو ضرب,Western,"### نوع السؤال: املأ الفراغ
مهمة: اختر فقط إجابة واحدة بدون أي ملاحظات إضافية. 
السؤال: وضع الاستاذ للطالب في ظهره. 
الخيارات: 
A) مغط 
B) شجع 
C) قوبل 
D) أقام",A
