Term,Meaning_of_term,Dialect type,True_False_question,correct_answer
مسفح,يعني طاير في العجة وهو ماعنده ماعند جدتي يعني بالعربي الفصيح من جنب العارضة,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'مسفح' تعني الشخص الذي يمتلك الكثير من المعرفة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
مسوّي خوي,مِسَوِّي خَوِي : هي عبارة تستخدم على الذي يعتبر صداقته معك او مع مجموعتك هي تحصيل حاصل.,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'مسوّي خوي' تستخدم لوصف صداقته بأنها غير مهمة.
الخيارات:
أ) صحيح
ب) خطأ",ب
مصقوع بكريك,شخص مرتبك، مضيع، ومو عارف فين الله حاطه! الكريك، هو المسمى العامي لمسحاة الحفر.,Western,"المهمة: قيم العبارة التالية بالصح أو الخطأ.
السؤال: الشخص 'المصقوع بكريك' هو شخص يعرف مكانه جيداً.
الخيارات:
أ) صحيح
ب) خطأ",ب
مطانيج,مطانيج هي المطبات الهوائية التي ع الطريق,General,"المهمة: تحديد صحة العبارة المتعلقة بكلمة 'مطانيج'.
السؤال: هل عبارة 'مطانيج تشير إلى الطرق المنبسطة فقط' صحيحة؟
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
مطوع بريدة,تطلق على المنافق الذي ظاهره شخص ملتزم (مطوع) وفي داخله شخص منحط أخلاقيا,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: مصطلح 'مطوع بريدة' يشير إلى شخص يتمتع بأخلاق عالية.
الخيارات:
أ) صحيح
ب) خطأ",ب
مع نفسك,معناها اذا احد طلب شي منك ومارح تسوي تقولو مع نفسك (الرفض) (تصرف احد),Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'مع نفسك' تعني الموافقة على طلب شخص آخر.
الخيارات:
أ) صحيح
ب) خطأ",ب
مع نفسو,عبارة تصف شخص ليس لديه فكرة عن ما يتحدث أو ما يفعل و كأنه في عالم آخر.,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'مع نفسو' تعني أن الشخص مركز ومتفهم لمحيطه.
الخيارات:
أ) صحيح
ب) خطأ",ب
معتتقلتيت,لاتروح لا هنا ولا هنا,Western,"المهمة: حدد ما إذا كانت الجملة التالية صحيحة أم خاطئة.
السؤال: 'معتتقلتيت' تعني 'اذهب إلى المكان المفضل لديك'.
الخيارات:
أ) صحيح
ب) خطأ",ب
أنت خبل ؟,تعجب من غباء شخص,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'أنت خبل ؟' تعني اعتذار لشخص.
الخيارات:
أ) صحيح
ب) خطأ",ب
راكبه من رأسه إلى ساسه,بمعنى الخطأ واللوم عليه ,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (راكبه من رأسه إلى ساسه) تعني أن الخطأ مشترك بين الجميع.
الخيارات:
أ) صحيح
ب) خاطئ",ب
على خشمي,تعني سأنفذ طلبك بكل سرور واهتمام مثل عبارة من عيوني,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (على خشمي) للتعبير عن الرفض أو التردد.
الخيارات:
أ) صحيح
ب) خاطئ",ب
مقطوع من شجرة,مقطوعة من شجرة عبارة تستخدم كناية للشخص الذي ليس له عائلة ؛ لا والدين ولا إخوة وأخوات.,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'مقطوع من شجرة' تشير إلى شخص له عائلة.
الخيارات:
أ) صحيح
ب) خطأ",ب
مكة حقنا,مصطلح رائج أي مكة ملكنا ونحن أولى بها من غيرنا,Western,"المهمة: قم بتحديد صحة العبارة.
السؤال: عبارة 'مكة حقنا' تعني أن مكة ملك لنا ومن حقنا فقط.
الخيارات:
أ) صحيح
ب) خطأ",أ
ملتس,تطلق على الرجل ضعيف الشخصية,Central,"### نوع السؤال: صحيح/خطأ 
- المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
- السؤال: الجملة ""فلان ملتس"" تعني أن فلان يتمتع بشخصية قوية. 
- الخيارات: 
 A) صحيح 
 B) خطأ 
- - الجملة تعني أن فلان ضعيف الشخصية.",B
الله لا يهينك,تقولها عندما تريد شيئاً او تطلب شئ بشكل مهذب,Central,"المهمة: تقييم صحة العبارة.
السؤال: عبارة ""الله لا يهينك"" تُستخدم عند طلب شيء بأدب واحترام.
الخيارات:
أ) صحيح
ب) خاطئ",أ
مَنْ,ماء,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: كلمة 'مَنْ' تعني 'تراب' في اللهجة الحجازية.
الخيارات:
أ) صحيح
ب) خاطئ",ب
مِن كثركْ,منْ كثركْ : ردّ بضعُ تحقيرْ ، تعنيَ أنكَ تثقُ بنفسكَ ثقةً عمياءْ ، و أنتَ في الواقع لا تستحقّ هذه الثقهْ . بمعنىَ عامّي : واثقْ بنفسك بزياادهْ D: !,Central,"المهمة: تحديد صحة العبارة التالية.
السؤال: عبارة 'من كثرك' تعني أن الشخص يملك ثقة عالية بنفسه.
الخيارات:
أ) صحيح
ب) خطأ",أ
من كيسي,"يعني انا مؤلف هذا الشيء ""مثل اغلب الكلمات الموجوده هنا""",General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: التعبير 'من كيسي' يعني أن الشيء يعود للمتحدث.
الخيارات:
أ) صحيح
ب) خاطئ
الإجابة الصحيحة:",
من له عين وراس سوى سواة الناس,أي أنه يقلد الناس .,Central,"المهمة: تقييم صحة العبارة التالية:
السؤال: عبارة 'من له عين وراس سوى سواة الناس' تعبر عن الشخص الذي يتميز عن الآخرين.
الخيارات:
أ) صحيح
ب) خطأ",ب
من ورا التريلات,التريلات جمع تريلة ويقصد بهذه العبارة عندما يحاول أحد تمرير معنى معين بدون أن ينتبه أحد أو كرسالة مبطنة داخل الكلمات,General,"المهمة: تحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تستخدم عبارة ""من ورا التريلات"" للتعبير عن شيء مباشر دون أي تورية.
الخيارات:
أ) صحيح
ب) خطأ",ب
منتب,منتب= لفظ منحوت لتعبير : ما انت ب . ، وتأتي بمعنى : لست ب ،ايضا. ويستخدم في اللهجات النجدية عمومًا. وهناك ايضا ، منب/مانيب=ما انا ب،منتيب/منتي ب= ما انتِ ب، محنب= ما نحن ب، مهب= ما هم ب، ما هو ب، ما هي ب.,Central,"### نوع السؤال: صحيح/خطأ
- المهمة: اختر الجواب الصحيح.
- السؤال: العبارة ""منتب"" تعني ""أنا"". 
- الخيارات: 
 A) صحيح 
 B) خطأ 
- - تترجم ""منتب"" إلى ""لست ب""، وليس ""أنا"".",B
لا هنت,تحمل طابع الامتنان والشكر تقولها لمن تطلب منه شيئا او خدمك ومعناها,General,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (لا هنت) للتعبير عن الشكر والتقدير.
الخيارات:
أ) صحيح
ب) خاطئ",أ
موتٍ حمر,فتاة جميلة جداً (مزيونة),General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'موتٍ حمر' تدل على شيء سلبي.
الخيارات:
أ) صحيح
ب) خطأ",ب
موت يا حمار,تنقال لمن الشي ما يرضى يسير,Western,"### نوع السؤال: صحيح/خطأ
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: عبارة ""موت يا حمار"" تستخدم للتعبير عن الرضا. 
الخيارات: 
A) صحيح 
B) خطأ",B
موعد خواجة,تطلق على الموعد الذي لا يتأخر عنه أصحابه .,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'موعد خواجة' تعني أن الموعد غير محدد.
الخيارات:
أ) صحيح
ب) خاطئ",ب
ناكسن للمرح,الشيء الذي لا فائدة منه,Central,"### نوع السؤال: صحيح/خطأ 
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: العبارة ""ناكسن للمرح"" تعني شيئًا مفيدًا. 
الخيارات: 
A) صحيح 
B) خطأ 
تفسير: العبارة تعني ""الشيء الذي لا فائدة منه"".",B
نبي: أبي : يبي,إذا أراد الشخص أن يعبر عن ما يريد أو يحتاج ،,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'يبي' تؤكد الرغبة في الحصول على شيء.
الخيارات:
أ) صحيح
ب) خطأ",أ
نبي نروح,سوف نذهب (جمع),Central,"المهمة: تحديد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: العبارة 'نبي نروح' تعني 'نريد أن نذهب'.
الخيارات:
أ) صحيح
ب) خاطئ",أ
نشر الغسيل,كلام المفروض ما ينقال ( سر ) -مثل معنى: كب العشا-,Western,"المهمة: حدد ما إذا كان البيان صحيحًا أو خاطئًا.
السؤال: عبارة 'نشر الغسيل' تشير إلى تبادل الأسرار.
الخيارات:
أ) صحيح
ب) خاطئ",أ
نفوس,وهي حالة من النرفزة والتوتر الشديد ويصيب غالبا المدخنين او اصحاب النوم الكثير,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: كلمة 'نفوس' تعني حالة من الهدوء والاسترخاء.
الخيارات:
صحيح
خطأطأ",خ
نهار نيه,يقصد بها لما يقول نهار نيه يعني ذاك اليوم اي يتحدث عن شيئ ماضي,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'نهار نيه' تشير إلى حدث مستقبلي.
الخيارات:
أ) صحيح
ب) خاطئ",ب
نومة وتمغيطة احسن من فرح طيطة,تعني هذه العبارة ان النوم افضل بكثير من الذهاب للعرس او الحفلة,Western,"المهمة: قم بتحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'نومة وتمغيطة احسن من فرح طيطة' تعني أن النوم أفضل بكثير من الذهاب للعرس.
الخيارات:
أ) صحيح
ب) خطأ",أ
هاه وش قلت ؟,تأتي بمعنيين : الأول : سؤال الشخص لإعادة كلامه لعدم مقدرة الاستماع له الثاني : لطلب الرد بعد إعطائة امر يخير به أو رأيًا .,Central,"المهمة: حدد إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'هاه وش قلت؟' تستخدم فقط للاستفسار عن شيء لم يُسمع.
الخيارات:
أ) صحيح
ب) خاطئ",ب
هبلي جغمه,اعطني لأشرب قليلا,Southern,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: عبارة ""هبلي جغمه"" تعني ""أحتاج للمساعدة"". 
الخيارات: 
A) صحيح 
B) خطأ 
التفسير: العبارة تعني ""اعطني لأشرب قليلا""، وليس لها علاقة بالمساعدة.",B
هتيم,سبة تطلق للطعن في نسب بعض القبائل,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: القبيلة الفلانية هتمان ليس لهم أصل.
الخيارات:
أ) صحيح
ب) خطأ",أ
جعلني قبلك,هي دعوة بالبقاء والعمر الطويل للشخص المُخاطَب، ومعناها الحرفي ( أسأل الله أن يجعلني أموت قبلك ),Southern,"المهمة: تحديد صحة العبارة.
السؤال: عبارة ""جعلني قبلك"" تُقال في حالات الغضب والتوبيخ.
الخيارات:
أ) صحيح
ب) خاطئ",ب
الناس تتانو,اي يعني تخابروا,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (الناس تتانو) تعني أن الناس انقطع تواصلهم.
الخيارات:
أ) صحيح
ب) خاطئ",ب
اتكئ على مركى,يعني  استند على المسند أو اتكئ على الوسادة الكبيرة ,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة ""اتكئ على مركى"" تعني أن الشخص يجلس مستعدًا للانطلاق.
الخيارات:
أ) صحيح
ب) خاطئ",ب
طرحني النوم,غلبني النعاس,Northern,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (طرحني النوم) تعني أن الشخص لم يشعر بالنعاس.
الخيارات:
أ) صحيح
ب) خاطئ",ب
تقوله صاز,تعني هل ماتقوله صحيح,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (تقوله صاز) للسؤال عمّا إذا كان الكلام صحيحًا.
الخيارات:
أ) صحيح
ب) خاطئ",أ
هو تامعك الوساه,هي تعتبر من اللهجه الجنوبيه من الباحه تحديداً هَوْ = لماذا تامعك = هذه السواه \ السوات = الفعل,Southern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'هو تامعك الوساه' تعني لماذا تفعل هذا.
الخيارات:
أ) صحيح
ب) خطأ",أ
هيا تعال. هيا روح بله!,"ازهوجه كروية , هيا تعال: كان نداء تحدي أطلقه نادي الهلال السعودي ضد غريمه النصر. هيا روح بله: فكانت هذه العبارة رد النداء. فهزم النصر الهلال. وكانت ردت الجماهير النصرواية: هيا روح بله!.",Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة: 'عبارة هيا روح بله تشير إلى تشجيع نادي الهلال.'
السؤال: صح أم خطأ: 'عبارة هيا روح بله تشير إلى تشجيع نادي الهلال.'
الخيارات:
أ) صح
ب) خطأ",ب
بوه مير نيم,تعني موجود لكنه نائم.,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (بوه مير نيم) تعني أن الشخص غير موجود في المكان.
الخيارات:
أ) صحيح
ب) خاطئ",ب
اتعيا به,احسن التعامل معه,Southern,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة (اتعيا به) تعني تجاهل الشخص وعدم الاهتمام به.
الخيارات:
أ) صحيح
ب) خاطئ",ب
و لوْ قلته,"و لوْ قلته : تعنيَ أنيَ واثقٌ بنفسيَ "" دون مدحٍ منك "" . و بالعاميَ : أدريَ أنيَ قدّ هالمدح بدونْ ما تقوله D: و قدْ يعنيَ القائلْ أنكَ بمدحكَ هذا لن تُغيّر شيئاً من قراراتيَ / قناعاتيْ . بالعاميَ : لا تكثّر حكيَ :q",Central,"المهمة: حدد إذا كانت العبارة التالية صحيحة أم خاطئة: 'و لوْ قلته' تعني أنك تحتاج لمزيد من المدح.
السؤال: هل العبارة صحيحة أم خاطئة؟
الخيارات:
أ) صحيح
ب) خاطئ",ب
واتسبديه,وا للتضجر تسبديه تعني كبدي (الكبد) وتقال للتضجر,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'واتسبديه' تستخدم للتعبير عن السعادة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
واطر جيبي طراه,يامصيبتاه,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خطأ.
السؤال: عبارة 'واطر جيبي طراه' تعني 'عافاك الله'.
الخيارات:
أ) صحيح
ب) خطأ",ب
واكدربة كدربة بياع الشوربة,هي من الاهازيج الحجازية القديمة التي يقولها الاطفال اثناء اللعب بالارجوحة خصوصا في شهر رمضان,Western,"المهمة: قرر إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'واكدربة كدربة بياع الشوربة' تعني أنها تتعلق بعملية بيع الطعام في المطاعم.
الخيارات:
أ) صحيحة
ب) خاطئة",ب
والنِعمْ,درَج عند اهل الجزيرة العربية وخاصة السعودية  انك اذا قابلت شخص لأول مرة وذكر لك اسمه الكامل ان ترد عليه والنعم (ليس في كل الحالات)، أي انعم بك. ويرد الطرف الآخر انعم بحالك او ما عليك زود,General,"المهمة: قيم العبارة التالية بالصح أو الخطأ.
السؤال: عبارة 'والنِعمْ' تستخدم دائماً في كل موقف.
الخيارات:
أ) صحيح
ب) خطأ",ب
وانا عمك,وانا عمك عباره تقال عند التباهي وتصغير الذي امامك,Central,"المهمة: تحديد صحة العبارة المتعلقة بمعنى 'وانا عمك'.
السؤال: عبارة 'وانا عمك' تستخدم للإشارة إلى الاعتذار عن خطأ.
الخيارات:
أ) صحيح
ب) خطأ",ب
وجعان,وجعان أي به سقمٌ أو علة ، ويطلق على من يتصرف تصرف غير مقبول,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'خالد وجعان' تعني أن خالد يبدي تصرفات مقبولة.
الخيارات:
أ) صحيح
ب) خطأ",ب
وجهه مغسول بمرق,تقال للشخص عديم الحياء والذي لا يخجل من ارتكاب العيب امام الناس.,General,"المهمة: حدد ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: تُستخدم عبارة 'وجهه مغسول بمرق' لوصف شخص يخجل من ارتكاب العيب أمام الناس.
الخيارات:
أ) صحيح
ب) خاطئ",ب
وحشتيني مرة,انا احبك،وحشتيني مرة,General,"المهمة: حدد إن كانت العبارة التالية صحيحة أو خاطئة.
السؤال: عبارة 'وحشتيني مرة' تعني 'أنا أريدك'.
الخيارات:
أ) صحيح
ب) خاطئ",ب
ياخي وخر,بمعنى ابتعد عني او ابتعد عن طريقي,Western,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة: 'ياخي وخر'  تعني 'اقترب من الطريق'.
الخيارات:
أ) صحيح
ب) خطأ",ب
ودي به,ودي به بمعني : اريد ابي_ اعطني او كيفي,General,"المهمة: تحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تستخدم عبارة 'ودي به' في معظم قبائل الجزيرة العربية الحديثة.
الخيارات:
أ) صحيح
ب) خاطئ",ب
وراو تسذا,وراو تسذا تعني لماذا هكذا ؟ وعادة مايستخدمها القصمان أي اهالي منطقة القصيم .,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: 'وراو تسذا' تعني 'كيف حالك؟'.
الخيارات:
أ) صحيح
ب) خطأ",ب
وسع الصدر,فرح طالع ضاق الصدر ، استانس,General,"المهمة: حدد ما إذا كانت العبارة الصحيحة أم خاطئة.
السؤال: عبارة 'وسع الصدر' تعني الضيق والقلق.
الخيارات:
أ) صحيح
ب) خطأ",ب
وَشْ تِحَسْ بَهْ ؟,بماذا تشعر وأنت تفعل هذا الفعل ؟ أو بماذا شعرت ؟ أو ما هو شعورك ؟,Western,"المهمة: قم بتحديد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'وَشْ تِحَسْ بَهْ ؟' تعني 'ما هو شعورك؟'.
الخيارات:
أ) صحيح
ب) خاطئ",أ
وش تحس فيه ؟,عبارة تستخدم عند التعبير في حالة الاندهاش من فعل غريب من أحد الأشخاص . أو احد الأشخاص يسوي شيء ماله داعي وغريب .,Central,"### نوع السؤال: صحيح/خطأ
المهمة: اختر إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: عبارة ""وش تحس فيه؟"" تُستخدم غالبًا في حالات الفرح. 
الخيارات: 
A) صحيح 
B) خطأ 
شرح: العبارة تُستخدم في حالات الاستغراب من تصرف غير عادي وليس في حالات الفرح.",B
وش حيفك؟,"""وش حيفك؟"" تعني ما الفرق بينك وبيننا؟ وهنا تُقال للشخص الذي الذي يحاول التبهاي بين الناس بشيء أو أخذ شيئاً ولم يستطع الآخر أخذه فيقول ""وش حيف ذاك ياخذ وانا ما أخذ؟""",Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أو خاطئة.
السؤال: عبارة 'وش حيفك؟' تعني 'ما الفرق بيننا وبين الآخرين'.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
وش عبيت,كلمة تقال اكثر الاحيان في المنطقه الجنوبيه والباديه خاصة من اهل الجنوب ومعناها ماذا فعلت,Southern,"المهمة: قرر ما إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'وش عبيت' تعني 'ماذا فعلت' في اللهجة السعودية.
الخيارات:
أ) صحيح
ب) خاطئ",أ
وش لونك,كيف حالك ؟,Eastern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'وش لونك' تعني 'كيف حالك؟' ويمكن استخدامها في المكالمات الهاتفية.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
في أمان الله,يعني مع السلامه بطلع او بمشي,Western,"### نوع السؤال: صحيح/خطأ
المهمة: اختر إذا كانت العبارة صحيحة أو خاطئة. 
السؤال: تعني العبارة ""وش نقول شبابب مع السلامة شباب"" الذهاب إلى العمل. 
الخيارات: 
A) صحيح 
B) خاطئ.",B
وش يحس به,يعني: ماذ يحس فيه تقال للذي يعمل شيئا غريبا يذهل الكل فيقولون له وش يحس به فلان؟,Western,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: عبارة ""وش يحس به"" تُستخدم للسؤال عن مشاعر شخص عندما يفعل شيئًا عجيبًا. 
الخيارات: 
A) صحيح 
B) خطأ.",A
وش يقالك,تأتي بمعنى وش تحس به,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'وش يقالك' تعني هل أكلت شيئاً؟
الخيارات:
أ) صحيح
ب) خاطئ",ب
وشلونك (وش لونك),كيف حالك,Central,"المهمة :اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية.
السؤال :عبارة ""وشلونك"" تستخدم للسؤال عن الطقس. 
الخيارات :
A) صحيح 
B) خطأ - العبارة تُستخدم للسؤال عن الحالة الشخصية وليس عن الطقس.",B
فلان رقله,غير كامل العقل,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (فلان رقله) لوصف شخص عاقل ومتزن.
الخيارات:
أ) صحيح
ب) خاطئ",ب
صام الخشة,تقال على الشخص لشدة تركيزه في أمر ما,Central,"المهمة: اقرأ العبارة التالية وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: تُستخدم عبارة (صام الخشة) لوصف شخص مشتت الذهن وغير منتبه.
الخيارات:
أ) صحيح
ب) خاطئ",ب
ولد العكاريت,ولد العكاريت تقال للمراهق المتمرّد على أهله ، وأظنها من العفاريت أو من عكر : ذكر ابن دريد : تعاكر القوم: اختلطوا في خصومةٍ أو نَحْوها. أو المعكرين صفو شيء ما فهو ابنهم,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: تعبير 'ولد العكاريت' يُستخدم لوصف شخص يسير مع عائلته.
الخيارات:
أ) صحيح
ب) خاطئ",ب
وه بس,وه بس هي للاعجاب بشي ما او إذا لم يعجبك شي ما يعني في كل الحالتين صحيحه,Central,"المهمة: قم بتحديد صحة العبارة.
السؤال: عبارة 'وه بس' تُستخدم للإشارة إلى الاستياء.
الخيارات:
أ) صحيح
ب) خطأ
الإجابة الصحيحة:",
وه يا ندامة,تقال للتعبير عن الصدمة عند سماع خبر مفاجئ,Western,"المهمة: حدد إذا كانت العبارة صحيحة أو خاطئة.
السؤال: عبارة 'وه يا ندامة' تستخدم للتعبير عن الشكر عند سماع خبر جيد.
الخيارات:
أ) صحيح
ب) خطأ",ب
وهاتك يا,يعني قعد يسوي شي ويباالغ فيه بزياادة.,Western,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة فقط بدون أي ملاحظات إضافية. 
السؤال: العبارة ""وهاتك يا"" تدل على قيام شخص بعمل عادي وليس مبالغة. 
الخيارات: 
A) صحيح 
B) خطأ",B
ويش اللي حارق رزك؟,بطريقة تهكمية أي لماذا أنت غيران وغضبان.,Central,"المهمة: حدد ما إذا كانت العبارة 'ويش اللي حارق رزك؟' تعبر عن الاستغراب أم لا.
السؤال: هل العبارة 'ويش اللي حارق رزك؟' تعبر عن الاستغراب؟
الخيارات:
أ) صحيح
ب) خطأ",أ
وين هوبه,كلمة تعني اين هو أو اين مكانه هذه الكلمة تجدها مستخدمة عند أهل القصيم ومنتشرة ايضاً عند معظم سكان القصيم,Central,"المهمة: اقرأ الجملة وحدد ما إذا كانت صحيحة أم خاطئة.
السؤال: عبارة 'وين هوبه' تستخدم في منطقة القصيم.
الخيارات:
أ) صحيح
ب) خطأ",أ
وينتس بوه,وتعني اين انتي,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'وينتس بوه' تعني 'أين أنت؟'.
الخيارات:
أ) صحيح
ب) خطأ",أ
الجو يهبل,الجو جميل اليوم,Western,"المهمة: تحديد صحة العبارة المتعلقة بمعنى 'الجو يهبل'.
السؤال: عبارة 'الجو يهبل' تعني أن الجو جميل اليوم.
الخيارات:
أ) صحيح
ب) خطأ",أ
يا بري حالي برياه,"تعني عزاء للنفس يعني مثلا رأيت موقف محزن وأثر فيك تقول: ""يابري حالي برياه"" مواساه لنفسك او تقال عزاء للنفس خاصة واكثر مايقولها كبار السن مثلا تجي عجوز تبي تقوم وماتقدر من اللام القدم والركبة . فتقول ""ماعاد فيني شده وحيل، يابري حالي برياه.""",Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'يا بري حالي برياه' تستخدم دائماً للتعبير عن الفرح.
الخيارات:
أ) صحيح
ب) خاطئ",ب
يا حليلتس حليلاه,كلمه يا حليلتس حليلاه كلمه تشبه ما اجملك او ما اروعك,Central,"المهمة: حدد ما إذا كانت العبارة التالية صحيحة أم خاطئة.
السؤال: عبارة 'يا حليلتس حليلاه' تعني 'يا رائعتك'.
الخيارات:
أ) صحيح
ب) خاطئ",أ
يا حليليك,"- تعني ""ما أجملك!"". - وقد تعني ""ما أطيبك!"". أصل الكلمة حلو، وتصغيرها حليل، واضيفت كاف الخطاب وأصبحت صورتها النهاية هكذا ""حليليك"".",Central,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الإجابة الصحيحة دون ملاحظات إضافية. 
السؤال: العبارة ""يا حليليك"" تعني ""ما أجملك!"" فقط. 
الخيارات: 
A) صحيح 
B) خطأ - لأنها تعني أيضًا ""ما أطيبك!""",B
يا خلف امي,مصطلح حساوي ( احسائي ) يطلق على الشخص العزيز الغالي عادة تطلقه الجدات على احفادهن تعبيرا عن شدة حبهن لهم وهو يقابله في اللغة العربية الفصحى : ياخليفة أمي,Eastern,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: العبارة 'يا خلف اميه' تستخدم للإهانة.
الخيارات:
أ) صحيح
ب) خطأ",ب
يا سلاام عليج,كلمه تقال عندما يفعل الشخص شئ مبهر,Central,"المهمة: حدد ما إذا كانت العبارة صحيحة أم خاطئة.
السؤال: عبارة 'يا سلاام عليج' تستخدم عند الإعجاب بشخص ما.
الخيارات:
أ) صحيحة
ب) خاطئة",أ
يا صبر الارض,يا صبر الارض هي عبارة نستخدمها عندما يكون الشخص اللذي نكلمه لا يفهم او يتغابى بأجوبته,Western,"المهمة: تحديد صحة العبارة.
السؤال: عبارة 'يا صبر الارض' تستخدم عندما يفهم الشخص ما يُقال له.
الخيارات:
أ) صحيح
ب) خطأ",ب
يا عزتي.,"يا عزتي: أسلوب رحمة. وتعني ""يا للشفقة"". طالع يا بري حالي برياه",Central,"### نوع السؤال: صحيح/خطأ
المهمة: اختر الجواب الصحيح.
السؤال: عبارة ""يا عزتي"" تعني ""يا للفرح"". 
 
الخيارات: 
A) صحيح 
B) خطأ - العبارة تعني ""يا للشفقة"".",B
