Term,Meaning_of_term,Dialect type,Meaning_question,correct_answer
لا هنت,تحمل طابع الامتنان والشكر تقولها لمن تطلب منه شيئا او خدمك ومعناها,General,"المهمة: حدد المعنى الصحيح لعبارة (لا هنت).
السؤال: ما المقصود من عبارة (لا هنت)؟
الخيارات:
أ) لا تتأخر
ب) شكرًا لك / الله يعطيك العافية
ج) لا تزعجني
د) ابتعد",ب
موتٍ حمر,فتاة جميلة جداً (مزيونة),General,"المهمة: اختر المعنى الصحيح للعبارة.
السؤال: ما هو معنى عبارة 'موتٍ حمر'؟
الخيارات:
أ) فتاة قبيحة جداً
ب) فتاة جميلة جداً
ج) امرأة مسنّة
د) شخصية خيالية",ب
موت يا حمار,تنقال لمن الشي ما يرضى يسير,Western,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""موت يا حمار""؟ 
الخيارات: 
A) تعبير عن الاستياء من شيء يرفض الحل. 
B) توصية بفعل شيء إيجابي. 
C) عبارة تستخدم في المناسبات السعيدة. 
D) تعبير عن الحب والمودة.",A
موعد خواجة,تطلق على الموعد الذي لا يتأخر عنه أصحابه .,Western,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما هو المعنى الصحيح لعبارة 'موعد خواجة'؟
الخيارات:
أ) موعد يتأخر فيه الشخص
ب) موعد محدد لا يتأخر عنه أصحابه
ج) موعد يتم تغييره
د) موعد غير مهم",ب
ناكسن للمرح,الشيء الذي لا فائدة منه,Central,"### نوع السؤال: معنى 
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ماذا تعني العبارة ""ناكسن للمرح""؟ 
الخيارات: 
A) شيء مفيد 
B) شيء مثير للاهتمام 
C) شيء لا فائدة منه 
D) شيء قديم",C
نبي: أبي : يبي,إذا أراد الشخص أن يعبر عن ما يريد أو يحتاج ،,Central,"المهمة: حدد المعنى الصحيح لعبارة 'نبي: أبي : يبي'.
السؤال: ما هو المعنى المقصود من العبارة 'نبي: أبي : يبي'؟
الخيارات:
أ) تعبر عن الرغبة في الحصول على شيء
ب) تعني النداء على شخص
ج) تعبر عن طلب المساعدة
د) تعني تقديم خدمة",أ
نبي نروح,سوف نذهب (جمع),Central,"المهمة: حدد معنى العبارة 'نبي نروح'.
السؤال: ما معنى العبارة 'نبي نروح'؟
الخيارات:
أ) نريد أن نذهب
ب) نحن نحب الذهاب
ج) نكره الذهاب
د) سنبقى هنا",أ
نشر الغسيل,كلام المفروض ما ينقال ( سر ) -مثل معنى: كب العشا-,Western,"المهمة: حدد المعنى الصحيح لعبارة 'نشر الغسيل'.
السؤال: ما هو المعنى المقصود من عبارة 'نشر الغسيل'؟
الخيارات:
أ) التحدث عن أمور خاصة بسخرية
ب) نشر الملابس بعد غسلها
ج) التعليقات الإيجابية عن الآخرين
د) الذهاب إلى السوق",أ
نفوس,وهي حالة من النرفزة والتوتر الشديد ويصيب غالبا المدخنين او اصحاب النوم الكثير,Central,"المهمة: اختر المعنى الصحيح لمصطلح 'نفوس'.
السؤال: ما هو معنى كلمة 'نفوس' في اللهجة النجدية؟
الخيارات:
أ) حالة من النرفزة والتوتر
ب) الهدوء والراحة
ج) البهجة والسرور
د) الصبر والتحمل",أ
نهار نيه,يقصد بها لما يقول نهار نيه يعني ذاك اليوم اي يتحدث عن شيئ ماضي,Central,"المهمة: حدد المعنى الصحيح لعبارة 'نهار نيه'.
السؤال: ماذا تعني عبارة 'نهار نيه'?
الخيارات:
أ) الوقت الحالي
ب) الأيام الماضية
ج) حدث مستقبلي
د) حالة الطقس",ب
نومة وتمغيطة احسن من فرح طيطة,تعني هذه العبارة ان النوم افضل بكثير من الذهاب للعرس او الحفلة,Western,"المهمة: حدد معنى العبارة التالية.
السؤال: ما هو معنى العبارة 'نومة وتمغيطة احسن من فرح طيطة'؟
الخيارات:
أ) الذهاب إلى حفلات أفضل من النوم
ب) النوم أفضل من الذهاب للحفلات
ج) الأفراح أفضل من الراحة
د) النوم لا يفيد",ب
هاه وش قلت ؟,تأتي بمعنيين : الأول : سؤال الشخص لإعادة كلامه لعدم مقدرة الاستماع له الثاني : لطلب الرد بعد إعطائة امر يخير به أو رأيًا .,Central,"المهمة: حدد المعنى الصحيح لعبارة 'هاه وش قلت؟'.
السؤال: ماذا تعني عبارة 'هاه وش قلت؟'؟
الخيارات:
أ) سؤال لإعادة الكلام
ب) سؤال عن العنوان
ج) السؤال عن الوقت
د) سؤال عن الصحة",أ
هبلي جغمه,اعطني لأشرب قليلا,Southern,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""هبلي جغمه""؟ 
الخيارات: 
A) أعطني لأشرب قليلا 
B) أعطني الطعام الآن 
C) اذهب إلى السوق 
D) أحتاج إلى نوم",A
هتيم,سبة تطلق للطعن في نسب بعض القبائل,Central,"المهمة: حدد المعنى الصحيح لكلمة 'هتيم'.
السؤال: ما معنى كلمة 'هتيم'؟
الخيارات:
أ) سبة تطلق للطعن في نسب بعض القبائل
ب) اسم لمدينة كبيرة
ج) لقب لمؤلف مشهور
د) نوع من أنواع الطعام",أ
جعلني قبلك,هي دعوة بالبقاء والعمر الطويل للشخص المُخاطَب، ومعناها الحرفي ( أسأل الله أن يجعلني أموت قبلك ),Southern,"المهمة: حدد المعنى الصحيح للعبارة .
السؤال: ماذا تعني عبارة ""جعلني قبلك"" في السياق الشعبي؟
الخيارات:
أ) أتمنى أن أراك قريبًا
ب) الله يوفقك
ج) أسأل الله أن يجعلني أموت قبلك
د) أنا أكبر منك سنًا",ج
الناس تتانو,اي يعني تخابروا,Central,"المهمة: حدد المعنى الصحيح لعبارة (الناس تتانو).
السؤال: ما المقصود من عبارة (الناس تتانو)؟
الخيارات:
أ) تنازعوا
ب) تخابروا وتواصلوا
ج) تجاهلوا بعضهم
د) افترقوا",ب
اتكئ على مركى,يعني  استند على المسند أو اتكئ على الوسادة الكبيرة ,General,"المهمة: اختر الإجابة الصحيحة فقط. 
السؤال: ماذا تعني عبارة ""اتكئ على مركى"" في السياق الشعبي؟
الخيارات:
أ) جلس على الأرض
ب) استند على الوسادة أو المسند
ج) بدأ في المشي
د) نام على الحصير",ب
طرحني النوم,غلبني النعاس,Northern,"المهمة: حدد المعنى الصحيح لعبارة (طرحني النوم).
السؤال: ما المقصود من عبارة (طرحني النوم)؟
الخيارات:
أ) صحيت من النوم
ب) غلبني النعاس
ج) نمت قليلًا
د) لم أنم",ب
تقوله صاز,تعني هل ماتقوله صحيح,Central,"المهمة: حدد المعنى الصحيح لعبارة (تقوله صاز).
السؤال: ما المقصود بعبارة (تقوله صاز)؟
الخيارات:
أ) هل ما تقوله صحيح
ب) لماذا قلت هذا
ج) لا تقل شيئًا
د) انتهى الموضوع",أ
هو تامعك الوساه,هي تعتبر من اللهجه الجنوبيه من الباحه تحديداً هَوْ = لماذا تامعك = هذه السواه \ السوات = الفعل,Southern,"المهمة: حدد المعنى الصحيح لعبارة 'هو تامعك الوساه'.
السؤال: ما معنى عبارة 'هو تامعك الوساه' في اللهجة السعودية؟
الخيارات:
أ) لماذا تامعك هذه السواه
ب) لماذا تحب الاختباء
ج) لماذا تضرب أخوك
د) لماذا تبتسم",أ
هيا تعال. هيا روح بله!,"ازهوجه كروية , هيا تعال: كان نداء تحدي أطلقه نادي الهلال السعودي ضد غريمه النصر. هيا روح بله: فكانت هذه العبارة رد النداء. فهزم النصر الهلال. وكانت ردت الجماهير النصرواية: هيا روح بله!.",Central,"المهمة: حدد المعنى الصحيح لعبارة 'هيا تعال. هيا روح بله!'
السؤال: ما هو المعنى العام الذي تعبر عنه هذه العبارة؟
الخيارات:
أ) دعوة للانتصار
ب) استهزاء بفريق آخر
ج) تشجيع للنصر
د) إشارة للتحدي",د
بوه مير نيم,تعني موجود لكنه نائم.,Central,"لمهمة: حدد المعنى الصحيح لعبارة (بوه مير نيم).
السؤال: ما المقصود من عبارة (بوه مير نيم)؟
الخيارات:
أ) موجود لكنه نائم
ب) غير موجود
ج) مستيقظ وينتظر
د) خرج من المكان",أ
اتعيا به,احسن التعامل معه,Southern,"المهمة: حدد المعنى الصحيح لعبارة (اتعيا به).
السؤال: ما المقصود من عبارة (اتعيا به)؟
الخيارات:
أ) احذر منه
ب) أحسن التعامل معه
ج) ابتعد عنه
د) اسخر منه",ب
و لوْ قلته,"و لوْ قلته : تعنيَ أنيَ واثقٌ بنفسيَ "" دون مدحٍ منك "" . و بالعاميَ : أدريَ أنيَ قدّ هالمدح بدونْ ما تقوله D: و قدْ يعنيَ القائلْ أنكَ بمدحكَ هذا لن تُغيّر شيئاً من قراراتيَ / قناعاتيْ . بالعاميَ : لا تكثّر حكيَ :q",Central,"المهمة: حدد المعنى الصحيح لعبارة 'و لوْ قلته'.
السؤال: ماذا تعني عبارة 'و لوْ قلته'؟
الخيارات:
أ) تعني أنني أحتاج للمساعدة.
ب) تعني أنني واثق بنفسي.
ج) تعني عدم أهمية المدح.
د) تعني الشعور بالضعف.",ب
واتسبديه,وا للتضجر تسبديه تعني كبدي (الكبد) وتقال للتضجر,Central,"المهمة: حدد المعنى الصحيح لعبارة 'واتسبديه'.
السؤال: ما هو معنى كلمة 'واتسبديه'؟
الخيارات:
أ) تعني الحزن
ب) تعني الكبدي
ج) تعني الفرح
د) تعني القلق",ب
واطر جيبي طراه,يامصيبتاه,Central,"المهمة: حدد المعنى الصحيح للعبارة 'واطر جيبي طراه'.
السؤال: ما هو المعنى المعروف لعبارة 'واطر جيبي طراه'؟
الخيارات:
أ) يامصيبتاه
ب) شكراً جزيلاً
ج) كيف حالك
د) إلى اللقاء",أ
واكدربة كدربة بياع الشوربة,هي من الاهازيج الحجازية القديمة التي يقولها الاطفال اثناء اللعب بالارجوحة خصوصا في شهر رمضان,Western,"المهمة: حدد معنى العبارة المذكورة.
السؤال: ما هو معنى عبارة 'واكدربة كدربة بياع الشوربة'؟
الخيارات:
أ) أغنية شعبية قديمة
ب) هتاف لأطفال يلعبون
ج) عبارة عن وصف لمنظر طبيعي
د) نكتة شعبية",ب
والنِعمْ,درَج عند اهل الجزيرة العربية وخاصة السعودية  انك اذا قابلت شخص لأول مرة وذكر لك اسمه الكامل ان ترد عليه والنعم (ليس في كل الحالات)، أي انعم بك. ويرد الطرف الآخر انعم بحالك او ما عليك زود,General,"### نوع السؤال: معنى
- المهمة: اختر الإجابة الصحيحة.
- السؤال: ما معنى عبارة ""والنِعم""؟
- الخيارات:
 A) تعبير عن السعادة 
 B) تعبير عن الاستحسان والاحترام 
 C) تعبير عن الاستغراب 
 D) تعبير عن التحية 
-",B
وانا عمك,وانا عمك عباره تقال عند التباهي وتصغير الذي امامك,Central,"المهمة: تحديد معنى العبارة 'وانا عمك'.
السؤال: ما هو المعنى الصحيح لعبارة 'وانا عمك'؟
الخيارات:
أ) تعبير عن الفخر والتفاخر
ب) اعتذار عن خطأ
ج) دعوة للمساعدة
د) تحية للأصدقاء",أ
وجعان,وجعان أي به سقمٌ أو علة ، ويطلق على من يتصرف تصرف غير مقبول,Central,"المهمة: حدد المعنى الصحيح لكلمة 'وجعان'.
السؤال: ماذا تعني كلمة 'وجعان'؟
الخيارات:
أ) شخص سعيد
ب) الشخص الذي يشعر بالألم
ج) الشخص الذي يسافر كثيراً
د) شخص يتحدث بوضوح",ب
وجهه مغسول بمرق,تقال للشخص عديم الحياء والذي لا يخجل من ارتكاب العيب امام الناس.,General,"المهمة: حدد المعنى الصحيح لعبارة 'وجهه مغسول بمرق'.
السؤال: ما هو المعنى الذي تُستخدم فيه العبارة 'وجهه مغسول بمرق'؟
الخيارات:
أ) شخص متأنق
ب) شخص عديم الحياء
ج) شخص كريم
د) شخص مرح",ب
وحشتيني مرة,انا احبك،وحشتيني مرة,General,"المهمة: اختر المعنى الصحيح للعبارة 'وحشتيني مرة'.
السؤال: ما المعنى الصحيح للعبارة 'وحشتيني مرة'?
الخيارات:
أ) أنا أكرهك
ب) أنا أحبك، وحشتيني مرة
ج) أنا سعيدة
د) أنا حزينة",ب
ياخي وخر,بمعنى ابتعد عني او ابتعد عن طريقي,Western,"المهمة: حدد معنى عبارة 'ياخي وخر' .
السؤال: ما معنى عبارة 'ياخي وخر'  في اللهجة السعودية؟
الخيارات:
أ) اقترب مني
ب) ابتعد عني
ج) اجلس هنا
د) توقف عن الكلام",ب
ودي به,ودي به بمعني : اريد ابي_ اعطني او كيفي,General,"المهمة: حدد المعنى الصحيح عبارة 'ودي به'.
السؤال: ما هو المعنى الصحيح عبارة 'ودي به'؟
الخيارات:
أ) أريده
ب) أذهب
ج) أنام
د) أكتب",أ
وراو تسذا,وراو تسذا تعني لماذا هكذا ؟ وعادة مايستخدمها القصمان أي اهالي منطقة القصيم .,Central,"المهمة: حدد المعنى الصحيح لعبارة 'وراو تسذا'.
السؤال: ما هو المعنى الدقيق لعبارة 'وراو تسذا'?
الخيارات:
أ) لماذا هكذا؟
ب) أين كنت؟
ج) ما الذي حدث؟
د) متى ستأتي؟",أ
وسع الصدر,فرح طالع ضاق الصدر ، استانس,General,"المهمة: اختر المعنى الصحيح لعبارة 'وسع الصدر'.
السؤال: ما معنى عبارة 'وسع الصدر'؟
الخيارات:
أ) حزن وانزعاج
ب) فرح وتقبل
ج) توتر وضيق
د) عصبية وإحباط",ب
وَشْ تِحَسْ بَهْ ؟,بماذا تشعر وأنت تفعل هذا الفعل ؟ أو بماذا شعرت ؟ أو ما هو شعورك ؟,Western,"المهمة: حدد المعنى الصحيح لعبارة 'وَشْ تِحَسْ بَهْ ؟'
السؤال: ما هو المعنى الدقيق لعبارة 'وَشْ تِحَسْ بَهْ ؟'؟
الخيارات:
أ) ما هو نوع الطعام الذي تحب؟
ب) ماذا تشعر وأنت تفعل هذا؟
ج) أين تذهب غداً؟
د) ماذا تفضل من الألوان؟",ب
وش تحس فيه ؟,عبارة تستخدم عند التعبير في حالة الاندهاش من فعل غريب من أحد الأشخاص . أو احد الأشخاص يسوي شيء ماله داعي وغريب .,Central,"### نوع السؤال: معنى
المهمة: اختر إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""وش تحس فيه؟""؟ 
الخيارات: 
A) تعبير عن الاستغراب من فعل غريب 
B) تعبير عن الشعور بالراحة 
C) تعبير عن الفرح بالنجاح 
D) تعبير عن الحزن بسبب الفراق",A
وش حيفك؟,"""وش حيفك؟"" تعني ما الفرق بينك وبيننا؟ وهنا تُقال للشخص الذي الذي يحاول التبهاي بين الناس بشيء أو أخذ شيئاً ولم يستطع الآخر أخذه فيقول ""وش حيف ذاك ياخذ وانا ما أخذ؟""",Central,"المهمة: حدد المعنى الصحيح لعبارة 'وش حيفك؟'.
السؤال: ما معنى عبارة 'وش حيفك؟'؟
الخيارات:
أ) ما الفرق بينك وبيننا؟
ب) أين تذهب؟
ج) ماذا تفعل؟
د) كيف حالك؟",أ
وش عبيت,كلمة تقال اكثر الاحيان في المنطقه الجنوبيه والباديه خاصة من اهل الجنوب ومعناها ماذا فعلت,Southern,"المهمة: حدد المعنى الصحيح لكلمة 'وش عبيت'.
السؤال: ما هو المعنى لكلمة 'وش عبيت'؟
الخيارات:
أ) كيف حالك؟
ب) ماذا فعلت؟
ج) أين تذهب؟
د) ما اسمك؟",ب
وش لونك,كيف حالك ؟,Eastern,"المهمة: حدد المعنى الصحيح لعبارة 'وش لونك'.
السؤال: ماذا تعني عبارة 'وش لونك'؟
الخيارات:
أ) كيف حالك؟
ب) أين تذهب؟
ج) ماذا تأكل؟
د) ماذا تفعل؟",أ
في أمان الله,يعني مع السلامه بطلع او بمشي,Western,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة التي تعبر عن معنى العبارة. 
السؤال: ما معنى عبارة ""وش نقول شبابب مع السلامة شباب""؟ 
الخيارات: 
A) يعني وداعاً عند الخروج. 
B) يعني مرحباً عندما نلتقي. 
C) يعني آسف على التأخير. 
D) يعني أراك لاحقاً..",A
وش يحس به,يعني: ماذ يحس فيه تقال للذي يعمل شيئا غريبا يذهل الكل فيقولون له وش يحس به فلان؟,Western,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة فقط دون أي ملاحظات إضافية. 
السؤال: ما معنى عبارة ""وش يحس به"" في اللهجة الحجازية؟ 
الخيارات: 
A) ماذا يشعر الشخص. 
B) ماذا يفعل الشخص. 
C) ماذا يتحدث الشخص. 
D) ماذا يرى الشخص..",A
وش يقالك,تأتي بمعنى وش تحس به,Central,"المهمة: حدد المعنى الصحيح لعبارة 'وش يقالك'.
السؤال: ما هو معنى عبارة 'وش يقالك'؟
الخيارات:
أ) كيف حالك؟
ب) ما تشعر به؟
ج) ماذا تفعل؟
د) أين تذهب؟",ب
وشلونك (وش لونك),كيف حالك,Central,"المهمة: حدد معنى عبارة 'وشلونك' باللغة العربية الفصحى.
السؤال: ما هو معنى عبارة 'وشلونك'؟
الخيارات:
أ) كيف حالك
ب) أين أنت?
ج) ما اسمك?
د) متى تجي؟",أ
فلان رقله,غير كامل العقل,Central,"المهمة: حدد المعنى الصحيح لعبارة (فلان رقله).
السؤال: ما المعنى المقصود من عبارة (فلان رقله)؟
الخيارات:
أ) ذكي جدًا
ب) غير كامل العقل
ج) هادئ الطباع
د) شديد التركيز",ب
صام الخشة,تقال على الشخص لشدة تركيزه في أمر ما,Central,"المهمة: حدد المعنى الصحيح لعبارة (صام الخشة).
السؤال: ما المعنى المقصود من عبارة (صام الخشة)؟
الخيارات:
أ) نام بعمق
ب) تجاهل من حوله
ج) ركّز بشكل شديد على أمرٍ ما
د) انسحب من المكان",ج
ولد العكاريت,ولد العكاريت تقال للمراهق المتمرّد على أهله ، وأظنها من العفاريت أو من عكر : ذكر ابن دريد : تعاكر القوم: اختلطوا في خصومةٍ أو نَحْوها. أو المعكرين صفو شيء ما فهو ابنهم,Central,"المهمة: حدد المعنى الصحيح للمصطلح 'ولد العكاريت'.
السؤال: ماذا يعني تعبير 'ولد العكاريت'؟
الخيارات:
أ) المراهق المتمرد على أهله
ب) شخص حكيم وكبير
ج) مدين في الديون
د) عاطل عن العمل",أ
وه بس,وه بس هي للاعجاب بشي ما او إذا لم يعجبك شي ما يعني في كل الحالتين صحيحه,Central,"المهمة: حدد المعنى الصحيح لعبارة 'وه بس'.
السؤال: ما هو المعنى الصحيح لعبارة 'وه بس'؟
الخيارات:
أ) تعبير عن الإعجاب بشيء ما
ب) تعبير عن الاستياء
ج) تعبير عن الحيرة
د) تعبير عن الفرح",أ
وه يا ندامة,تقال للتعبير عن الصدمة عند سماع خبر مفاجئ,Western,"المهمة: حدد المعنى الصحيح لعبارة 'وه يا ندامة'.
السؤال: ما معنى العبارة 'وه يا ندامة'؟
الخيارات:
أ) تعبير عن الفرح
ب) تعبير عن الصدمة
ج) تعبير عن الشكر
د) تعبير عن الاستغراب",ب
وهاتك يا,يعني قعد يسوي شي ويباالغ فيه بزياادة.,Western,"المهمة: حدد معنى العبارة 'وهاتك يا'.
السؤال: ما هو المعنى الصحيح لعبارة 'وهاتك يا'?
الخيارات:
أ) يعني قعد يسوي شي ويبالغ فيه بزياادة.
ب) يعني الوقت قد تأخر.
ج) يعني مزاجه سيء.
د) يعني يحتاج مساعدة.",أ
ويش اللي حارق رزك؟,بطريقة تهكمية أي لماذا أنت غيران وغضبان.,Central,"المهمة: حدد المعنى الدقيق للعبارة 'ويش اللي حارق رزك؟'.
السؤال: ماذا تعني العبارة 'ويش اللي حارق رزك؟'؟
الخيارات:
أ) لماذا أنت غيران وغضبان؟
ب) لماذا أنت سعيد ومبسوط؟
ج) لماذا لم تأكل طعامك؟
د) لماذا أنت مشغول بالعمل؟",أ
وين هوبه,كلمة تعني اين هو أو اين مكانه هذه الكلمة تجدها مستخدمة عند أهل القصيم ومنتشرة ايضاً عند معظم سكان القصيم,Central,"المهمة: حدد معنى العبارة.
السؤال: ما معنى عبارة 'وين هوبه'؟
الخيارات:
أ) أين هو؟
ب) تأخر عن الموعد.
ج) أين ذهب؟
د) مرحباً بك.",أ
وينتس بوه,وتعني اين انتي,Central,"المهمة: حدد المعنى الصحيح للعبارة 'وينتس بوه'.
السؤال: ما معنى العبارة 'وينتس بوه'؟
الخيارات:
أ) أين أنتي
ب) أين هو
ج) أين هم
د) أين نحن",أ
الجو يهبل,الجو جميل اليوم,Western,"المهمة: حدد المعنى الصحيح للعبارة 'الجو يهبل'.
السؤال: ما هو المعنى المقصود من العبارة التي تتحدث عن 'الجو يهبل'؟
الخيارات:
أ) الجو جميل اليوم
ب) الصورة قاتمة
ج) الأجواء مشحونة بالتوتر
د) الغيوم تملأ السماء",أ
يا بري حالي برياه,"تعني عزاء للنفس يعني مثلا رأيت موقف محزن وأثر فيك تقول: ""يابري حالي برياه"" مواساه لنفسك او تقال عزاء للنفس خاصة واكثر مايقولها كبار السن مثلا تجي عجوز تبي تقوم وماتقدر من اللام القدم والركبة . فتقول ""ماعاد فيني شده وحيل، يابري حالي برياه.""",Central,"المهمة: حدد المعنى الصحيح لعبارة 'يا بري حالي برياه'.
السؤال: ما هي المعنى الدقيق لعبارة 'يا بري حالي برياه'؟
الخيارات:
أ) تعبير عن الفرح
ب) تعبير عن الحزن
ج) تعبير عن الغضب
د) تعبير عن القلق",ب
يا حليلتس حليلاه,كلمه يا حليلتس حليلاه كلمه تشبه ما اجملك او ما اروعك,Central,"المهمة: حدد المعنى الصحيح لعبارة 'يا حليلتس حليلاه'.
السؤال: ما المقصود بعبارة 'يا حليلتس حليلاه'؟
الخيارات:
أ) تعبر عن الإحباط
ب) تعبر عن الإعجاب
ج) تعبر عن الحزن
د) تعبر عن الغضب",ب
يا حليليك,"- تعني ""ما أجملك!"". - وقد تعني ""ما أطيبك!"". أصل الكلمة حلو، وتصغيرها حليل، واضيفت كاف الخطاب وأصبحت صورتها النهاية هكذا ""حليليك"".",Central,"### نوع السؤال: معنى
المهمة: اختر الإجابة الصحيحة دون ملاحظات إضافية. 
السؤال: ماذا تعني العبارة ""يا حليليك""؟ 
الخيارات: 
A) ما أجملك! 
B) كيف حالك؟ 
C) أين ذهبت؟ 
D) ما طعمها رائع!",A
يا خلف امي,مصطلح حساوي ( احسائي ) يطلق على الشخص العزيز الغالي عادة تطلقه الجدات على احفادهن تعبيرا عن شدة حبهن لهم وهو يقابله في اللغة العربية الفصحى : ياخليفة أمي,Eastern,"المهمة: حدد المقصود من العبارة 'يا خلف اميه'.
السؤال: ما معنى تعبير 'يا خلف اميه'؟
الخيارات:
أ) تعبير يستخدم للتعبير عن الحب
ب) تعبير يستخدم للإهانة
ج) تعبير عادي بين الأصدقاء
د) تعبير يستخدم في الأمور الرسمية",أ
يا سلاام عليج,كلمه تقال عندما يفعل الشخص شئ مبهر,Central,"المهمة: حدد المعنى الصحيح للعبارة 'يا سلاام عليج'.
السؤال: ما هو معنى العبارة 'يا سلاام عليج'؟
الخيارات:
أ) تعبير يصف الإحباط
ب) تعبير يصف الإعجاب
ج) تعبير يستخدم للتحدي
د) تعبير يومي عادي",ب
يا صبر الارض,يا صبر الارض هي عبارة نستخدمها عندما يكون الشخص اللذي نكلمه لا يفهم او يتغابى بأجوبته,Western,"المهمة: حدد المعنى الصحيح لعبارة 'يا صبر الارض'.
السؤال: ما هو المعنى الذي تعبر عنه عبارة 'يا صبر الارض'؟
الخيارات:
أ) تعبير عن الطلب
ب) تعبير عن الاستغراب
ج) تعبير عن الاستسلام
د) تعبير عن الصبر من كثرة الإعادة",د
يا عزتي.,"يا عزتي: أسلوب رحمة. وتعني ""يا للشفقة"". طالع يا بري حالي برياه",Central,"### نوع السؤال: معنى
المهمة: اختر الجواب الصحيح.
السؤال: ما معنى عبارة ""يا عزتي"" في اللهجة السعودية؟
الخيارات: 
A) تعبير عن الحزن 
B) تعبير عن الفخر 
C) أسلوب تعاطف أو شفقة 
D) تعبير عن السعادة",C
يا عقوبتي,يقولها الشخص عندما يكون منزعجاً,Central,"المهمة: حدد المعنى الصحيح لعبارة 'يا عقوبتي'.
السؤال: ما المعنى المقصود من عبارة 'يا عقوبتي'؟
الخيارات:
أ) تعبير عن الفخر
ب) تعبير عن الانزعاج
ج) تعبير عن الحزن
د) تعبير عن السعادة",ب
يا عمي سري,يعني انقلع او روخر,Western,"المهمة: حدد المعنى الصحيح للعبارة 'يا عمي سري'.
السؤال: ما الذي يعنيه المصطلح 'يا عمي سري'؟
الخيارات:
أ) اذهب بعيداً
ب) تعال إلى هنا
ج) اهدأ
د) اضحك مع الآخرين",أ
يا غارة الله,هذا المصطلح دارج في جنوب المملكة ( جازان ، نجران ، الباحة ، عسير ). وهي عبارة تقابل ( وش دعوى ) عند الخليجيين . ويقولها المرء عندما يستنكر ما يقوله محدّثه . أو يعاتبه عليه بلطف. وبدقة ، تعني العبارة : يا غيرة الله مما تقول - أي أنه ليس كلاماً في محلّه و الله يغار من كلام كهذا من ضدة خطئه - تعالى الله -,Southern,"المهمة: حدد المعنى الصحيح لعبارة 'يا غارة الله'.
السؤال: ما هو المعنى الدارج لعبارة 'يا غارة الله' في اللهجة السعودية؟
الخيارات:
أ) تعني استنكار ما يقوله المتحدث
ب) تعني ترحيب الحضور
ج) تعني الإعجاب بالموقف
د) تعني الرغبة في المغادرة",أ
يا كبدة,تعنى كلمة ياكبدة الكثير لايعرفها وتعنى لشخص نشبه غثيث يجيب المرض,Western,"المهمة: حدد المعنى الصحيح لعبارة 'يا كبدة'.
السؤال: ما هو المعنى الدقيق لعبارة 'يا كبدة'؟
الخيارات:
أ) تعني شخص طيب وودود
ب) تعني شخص غثيث يجلب المرض
ج) تعني شخص ذكي وفهيم
د) تعني شخص مريض ومتعب",ب
يا لبن,كلمة دارجة تقال عند مقابلة الأشخاص الأعزاء,Western,"### نوع السؤال: معنى
المهمة: اختر فقط إجابة واحدة دون أي ملاحظات إضافية. 
السؤال: ما المعنى الذي تشير إليه عبارة ""يا لبن""؟ 
الخيارات: 
A) تحية للأصدقاء 
B) دعوة للأكل 
C) تعبير عن الحب والود 
D) تحذير من الخطر",C
يا واد,"عبارة تستخدم بين الشباب نيابة عن كلمة dude ""دود"" من اللغة الإنجليزية.",Western,"المهمة: حدد المعنى الصحيح لعبارة 'يا واد'.
السؤال: ما معنى عبارة 'يا واد'؟
الخيارات:
أ) كلمة تعني محترم
ب) تعبير يستخدم بين الشباب بمعنى صديق
ج) تعني أبداً
د) تعبير يستخدم للدلالة على الغضب",ب
يا وجه الله,بمعنى : يا إلهي و تقال عند رؤية أو حصول شئ غريب و مخيف وغير متوقع,Central,"المهمة: حدد المعنى الصحيح لعبارة 'يا وجه الله'.
السؤال: ما معنى عبارة 'يا وجه الله'؟
الخيارات:
أ) تعبر عن السعادة
ب) تعبر عن الدهشة أو الخوف
ج) تعبر عن الشكر
د) تعبر عن الوداع",ب
يابعد زولي,يابعد زولي كلمة في شمال نجد وهي خاصة بقبيلة الظفير وتعني يابعد جسدي او نفسي,Central,"المهمة: ما هو المعنى لكلمة 'يابعد زولي'؟
السؤال: ماذا تعني عبارة 'يابعد زولي'؟
الخيارات:
أ) تعني يابعد جسدي أو نفسي
ب) تعني ابتعد عني
ج) تعني أحبك
د) تعني أذهب بعيدًا",أ
يادبل تسبدي,تستخدم اذا تضايق احدهم من شخصا ما او تصرف معين,Central,"المهمة: حدد المعنى الصحيح للعبارة.
السؤال: ما معنى عبارة 'يادبل تسبدي'؟
الخيارات:
أ) تستخدم للتعبير عن الفرح
ب) تستخدم إذا تضايق أحدهم من شخص ما أو تصرف معين
ج) تعني الانبهار بشيء
د) تستخدم في حالة الشكر",ب
